,value
538,"2016-02-13 14:28:54 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating1.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 31"
539,"2016-02-13 14:28:54 128.230.247.37 GET /Themes/DefaultClean/Content/images/email-button.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 28"
540,"2016-02-13 14:28:54 128.230.247.37 GET /Themes/DefaultClean/Content/images/compare-button.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 31"
541,"2016-02-13 14:28:54 128.230.247.37 GET /Themes/DefaultClean/Content/images/wishlist-button.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 32"
542,"2016-02-13 14:28:54 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 19"
543,"2016-02-13 14:28:54 128.230.247.37 GET /Themes/DefaultClean/Content/images/ajax-loader-small.gif - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 19"
544,"2016-02-13 14:28:54 128.230.247.37 GET /Themes/DefaultClean/Content/images/toggle-white.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 32"
545,"2016-02-13 14:28:54 128.230.247.37 GET /Themes/DefaultClean/Content/images/social-sprite.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 121"
546,"2016-02-13 14:29:00 128.230.247.37 GET / - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nike-sb-zoom-stefan-janoski-medium-mint 200 0 0 215"
547,"2016-02-13 14:29:00 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/nivo-slider.css - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 32"
548,"2016-02-13 14:29:00 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 34"
549,"2016-02-13 14:29:00 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Scripts/jquery.nivo.slider.js - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 223"
550,"2016-02-13 14:29:00 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/loading.gif - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 20"
551,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000005_electronics_450.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 30"
552,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000075_banner_1.jpg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 50"
553,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000076_banner_2.jpg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 69"
554,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000009_apparel_450.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 37"
555,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000072_25-virtual-gift-card_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 41"
556,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000013_digital-downloads_450.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 49"
557,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000020_build-your-own-computer_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 50"
558,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000024_apple-macbook-pro-13-inch_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 50"
559,"2016-02-13 14:29:01 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 346"
560,"2016-02-13 14:29:06 128.230.247.37 GET /electronics - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/ 200 0 0 431"
561,"2016-02-13 14:29:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/toggle-gray.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 28"
562,"2016-02-13 14:29:06 128.230.247.37 GET /content/images/thumbs/0000054_nike-sb-zoom-stefan-janoski-medium-mint_64.jpg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 18"
563,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000058_levis-511-jeans_64.jpg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 21"
564,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000051_adidas-consortium-campus-80s-running-shoes_64.jpg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 25"
565,"2016-02-13 14:29:07 128.230.247.37 GET /Themes/DefaultClean/Content/images/next.png - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 32"
566,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000007_cell-phones_450.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 47"
567,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000048_portable-sound-speakers_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 48"
568,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000006_camera-photo_450.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 50"
569,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000044_nokia-lumia-1020_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 51"
570,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000035_nikon-d5500-dslr_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 69"
571,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000045_beats-pill-20-wireless-speaker_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 70"
572,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000042_htc-one-mini-blue_415.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 80"
573,"2016-02-13 14:29:07 128.230.247.37 GET /content/images/thumbs/0000008_accessories_450.jpg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 111"
574,"2016-02-13 14:29:13 128.230.247.37 GET /cell-phones - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 249"
575,"2016-02-13 14:29:22 128.230.247.37 GET /nokia-lumia-1020 - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/cell-phones 200 0 0 276"
576,"2016-02-13 14:29:22 128.230.247.37 GET /content/images/thumbs/0000044_nokia-lumia-1020_550.jpeg - 80 - 54.114.107.209 Mozilla/5.0+(Linux;+U;+Android+4.4.2;+en-us;+SCH-I535+Build/KOT49H)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30 http://group0.ist722.ischool.syr.edu/nokia-lumia-1020 200 0 0 182"
577,"2016-02-13 14:41:06 128.230.247.37 GET / - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 - 200 0 0 205"
578,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/css/styles.css - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 108"
579,"2016-02-13 14:41:06 128.230.247.37 GET /Scripts/public.common.js - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 41"
580,"2016-02-13 14:41:06 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 48"
581,"2016-02-13 14:41:06 128.230.247.37 GET /Scripts/jquery.validate.unobtrusive.min.js - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 71"
582,"2016-02-13 14:41:06 128.230.247.37 GET /content/images/thumbs/0000020_build-your-own-computer_415.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 98"
583,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/logo.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 115"
584,"2016-02-13 14:41:06 128.230.247.37 GET /Scripts/jquery-migrate-1.2.1.min.js - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 84"
585,"2016-02-13 14:41:06 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Scripts/jquery.nivo.slider.js - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 134"
586,"2016-02-13 14:41:06 128.230.247.37 GET /content/images/thumbs/0000076_banner_2.jpg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 153"
587,"2016-02-13 14:41:06 128.230.247.37 GET /content/images/thumbs/0000013_digital-downloads_450.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 145"
588,"2016-02-13 14:41:06 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_415.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 207"
589,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/shopping-bag.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 46"
590,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/menu-icon.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 46"
591,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating2.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 38"
592,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/wishlist-button.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 45"
593,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating1.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 47"
594,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/toggle-white.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 44"
595,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/social-sprite.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 43"
596,"2016-02-13 14:41:06 128.230.247.37 GET /Themes/DefaultClean/Content/images/compare-button.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 46"
597,"2016-02-13 14:41:06 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 36"
598,"2016-02-13 14:41:11 128.230.247.37 GET / - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 123"
599,"2016-02-13 14:41:23 128.230.247.37 GET /electronics - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/ 200 0 0 269"
600,"2016-02-13 14:41:23 128.230.247.37 GET /content/images/thumbs/0000057_custom-t-shirt_64.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 39"
601,"2016-02-13 14:41:23 128.230.247.37 GET /content/images/thumbs/0000045_beats-pill-20-wireless-speaker_64.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 49"
602,"2016-02-13 14:41:23 128.230.247.37 GET /content/images/thumbs/0000074_100-physical-gift-card_64.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 53"
603,"2016-02-13 14:41:23 128.230.247.37 GET /content/images/thumbs/0000042_htc-one-mini-blue_415.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 47"
604,"2016-02-13 14:41:23 128.230.247.37 GET /content/images/thumbs/0000007_cell-phones_450.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 60"
605,"2016-02-13 14:41:23 128.230.247.37 GET /content/images/thumbs/0000045_beats-pill-20-wireless-speaker_415.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 55"
606,"2016-02-13 14:41:23 128.230.247.37 GET /Themes/DefaultClean/Content/images/next.png - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 46"
607,"2016-02-13 14:41:23 128.230.247.37 GET /content/images/thumbs/0000048_portable-sound-speakers_415.jpeg - 80 - 74.111.18.59 Mozilla/5.0+(iPad;+CPU+OS+9_2_1+like+Mac+OS+X)+AppleWebKit/601.1+(KHTML,+like+Gecko)+CriOS/48.0.2564.104+Mobile/13D15+Safari/601.1.46 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 57"
